Organismo Fuente,Especie,Frecuencia
mitochondrion Dichomeris occidentella,Dichomeris occidentella,5
mitochondrion Dichomeris merceae,Dichomeris merceae,1
mitochondrion Selvasaura sp,Selvasaura sp.,1
Cortinarius caninus,Cortinarius caninus,1
Cortinarius sp. DSG-2023a,Cortinarius sp. DSG-2023a,2
Homo sapiens (human),Homo sapiens,1
Rattus rattus (black rat),Rattus rattus,1
Zea mays,Zea mays,1
Glycine max (soybean),Glycine max,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Carica papaya (papaya),Carica papaya,1
Todarodes pacificus (Japanese flying squid),Todarodes pacificus,1
Onchocerca volvulus,Onchocerca volvulus,1
Mus musculus domesticus (western European house mouse),Mus musculus domesticus,1
Homo sapiens (human),Homo sapiens,1
Homo sapiens (human),Homo sapiens,1
Gallus gallus (chicken),Gallus gallus,1
Chlamys islandica,Chlamys islandica,1
Arabidopsis thaliana (thale cress),Arabidopsis thaliana,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Arabidopsis thaliana (thale cress),Arabidopsis thaliana,1
Alopecurus myosuroides,Alopecurus myosuroides,1
Alopecurus myosuroides,Alopecurus myosuroides,1
Alopecurus myosuroides,Alopecurus myosuroides,1
Alopecurus myosuroides,Alopecurus myosuroides,1
Alopecurus myosuroides,Alopecurus myosuroides,1
Alopecurus myosuroides,Alopecurus myosuroides,1
Alopecurus myosuroides,Alopecurus myosuroides,1
Glycine max (soybean),Glycine max,1
Proteus mirabilis,Proteus mirabilis,1
Dimocarpus longan,Dimocarpus longan,1
Calotropis procera,Calotropis procera,1
Nicotiana benthamiana,Nicotiana benthamiana,1
Lolium rigidum,Lolium rigidum,1
Suaeda maritima,Suaeda maritima,1
Taiwanofungus camphoratus,Taiwanofungus camphoratus,1
Anopheles cracens,Anopheles cracens,1
Platynota idaeusalis,Platynota idaeusalis,1
Clonorchis sinensis,Clonorchis sinensis,1
Alternaria brassicicola,Alternaria brassicicola,1
Penicillium chrysogenum,Penicillium chrysogenum,1
Clonorchis sinensis,Clonorchis sinensis,1
Penicillium malachiteum,Penicillium malachiteum,1
Penicillium odoratum,Penicillium odoratum,1
Penicillium malachiteum,Penicillium malachiteum,1
Penicillium verhagenii,Penicillium verhagenii,1
Penicillium concentricum,Penicillium concentricum,1
Penicillium alfredii,Penicillium alfredii,1
Malassezia vespertilionis,Malassezia vespertilionis,1
Caenorhabditis elegans,Caenorhabditis elegans,1
Caenorhabditis elegans,Caenorhabditis elegans,1
Caenorhabditis elegans,Caenorhabditis elegans,1
Caenorhabditis elegans,Caenorhabditis elegans,1
Zostera marina,Zostera marina,1
Aspergillus affinis,Aspergillus affinis,1
Aspergillus affinis,Aspergillus affinis,1
Fimicolochytrium jonesii,Fimicolochytrium jonesii,1
Durotheca rogersii,Durotheca rogersii,1
Hypoxylon trugodes,Hypoxylon trugodes,1
Enterobacter hormaechei subsp. xiangfangensis (Enterobacter xiangfangensis),Enterobacter hormaechei subsp. xiangfangensis,1
Hypoxylon fragiforme,Hypoxylon fragiforme,1
Daldinia loculata,Daldinia loculata,1
Annulohypoxylon truncatum,Annulohypoxylon truncatum,1
Daldinia vernicosa,Daldinia vernicosa,1
Neoantrodia serialis,Neoantrodia serialis,1
Epithele typhae,Epithele typhae,1
Rhodofomes roseus,Rhodofomes roseus,1
Epithele typhae,Epithele typhae,1
Purpureocillium takamizusanense,Purpureocillium takamizusanense,1
Purpureocillium takamizusanense,Purpureocillium takamizusanense,1
Purpureocillium takamizusanense,Purpureocillium takamizusanense,1
Purpureocillium takamizusanense,Purpureocillium takamizusanense,1
Purpureocillium takamizusanense,Purpureocillium takamizusanense,1
Daldinia caldariorum,Daldinia caldariorum,1
Purpureocillium takamizusanense,Purpureocillium takamizusanense,1
Purpureocillium takamizusanense,Purpureocillium takamizusanense,1
Purpureocillium takamizusanense,Purpureocillium takamizusanense,1
Purpureocillium takamizusanense,Purpureocillium takamizusanense,1
Purpureocillium takamizusanense,Purpureocillium takamizusanense,1
Purpureocillium takamizusanense,Purpureocillium takamizusanense,1
Purpureocillium takamizusanense,Purpureocillium takamizusanense,1
Purpureocillium takamizusanense,Purpureocillium takamizusanense,1
Purpureocillium takamizusanense,Purpureocillium takamizusanense,1
Coccidioides immitis RS,Coccidioides immitis RS,1
Coccidioides immitis RS,Coccidioides immitis RS,1
Histoplasma capsulatum G186AR (Ajellomyces capsulatus G186AR),Histoplasma capsulatum G186AR,1
Histoplasma capsulatum G186AR (Ajellomyces capsulatus G186AR),Histoplasma capsulatum G186AR,1
Blastomyces dermatitidis ER-3 (Ajellomyces dermatitidis ER-3),Blastomyces dermatitidis ER-3,1
Blastomyces dermatitidis ER-3 (Ajellomyces dermatitidis ER-3),Blastomyces dermatitidis ER-3,1
Trametes versicolor FP-101664 SS1,Trametes versicolor FP-101664 SS1,1
Lentinula edodes (shiitake mushroom),Lentinula edodes,1
Colletotrichum karsti,Colletotrichum karsti,1
Colletotrichum truncatum,Colletotrichum truncatum,1
Alternaria rosae,Alternaria rosae,1
Boeremia exigua,Boeremia exigua,1
Drepanopeziza brunnea f. sp. 'multigermtubi' MB_m1,Drepanopeziza brunnea f. sp. 'multigermtubi' MB_m1,1
Drepanopeziza brunnea f. sp. 'multigermtubi' MB_m1,Drepanopeziza brunnea f. sp. 'multigermtubi' MB_m1,1
Aureobasidium melanogenum CBS 110374,Aureobasidium melanogenum CBS 110374,1
Cucurbitaria berberidis CBS 394.84,Cucurbitaria berberidis CBS 394.84,1
Cucurbitaria berberidis CBS 394.84,Cucurbitaria berberidis CBS 394.84,1
Aspergillus fijiensis CBS 313.89,Aspergillus fijiensis CBS 313.89,1
Laetiporus sulphureus 93-53,Laetiporus sulphureus 93-53,1
Laetiporus sulphureus 93-53,Laetiporus sulphureus 93-53,1
Aspergillus niger CBS 101883 (Aspergillus lacticoffeatus CBS 101883),Aspergillus niger CBS 101883,1
Alternaria burnsii,Alternaria burnsii,1
Alternaria burnsii,Alternaria burnsii,1
Mycena indigotica,Mycena indigotica,1
Mycena indigotica,Mycena indigotica,1
Mycena indigotica,Mycena indigotica,1
Lasiodiplodia theobromae,Lasiodiplodia theobromae,1
Aspergillus tubingensis,Aspergillus tubingensis,1
Aspergillus tubingensis,Aspergillus tubingensis,1
Trematosphaeria pertusa,Trematosphaeria pertusa,1
Trematosphaeria pertusa,Trematosphaeria pertusa,1
Alopecurus myosuroides,Alopecurus myosuroides,1
Dothidotthia symphoricarpi CBS 119687,Dothidotthia symphoricarpi CBS 119687,1
Arthroderma uncinatum (Trichophyton ajelloi),Arthroderma uncinatum,1
Lindgomyces ingoldianus,Lindgomyces ingoldianus,1
Mytilinidion resinicola,Mytilinidion resinicola,1
Macroventuria anomochaeta,Macroventuria anomochaeta,1
Aaosphaeria arxii CBS 175.79,Aaosphaeria arxii CBS 175.79,1
Didymella exigua CBS 183.55,Didymella exigua CBS 183.55,1
Aspergillus nomiae NRRL 13137,Aspergillus nomiae NRRL 13137,1
Hyaloscypha bicolor E,Hyaloscypha bicolor E,1
Trichoderma reesei QM6a,Trichoderma reesei QM6a,1
Trichoderma reesei QM6a,Trichoderma reesei QM6a,1
Aspergillus heteromorphus CBS 117.55,Aspergillus heteromorphus CBS 117.55,1
Aspergillus eucalypticola CBS 122712,Aspergillus eucalypticola CBS 122712,1
Aspergillus eucalypticola CBS 122712,Aspergillus eucalypticola CBS 122712,1
Aspergillus heteromorphus CBS 117.55,Aspergillus heteromorphus CBS 117.55,1
Aspergillus steynii IBT 23096,Aspergillus steynii IBT 23096,1
Aspergillus steynii IBT 23096,Aspergillus steynii IBT 23096,1
Verticillium dahliae VdLs.17,Verticillium dahliae VdLs.17,1
Blastomyces gilchristii SLH14081,Blastomyces gilchristii SLH14081,1
Microsporum canis CBS 113480 (Arthroderma otae CBS 113480),Microsporum canis CBS 113480,1
Synchytrium microbalum,Synchytrium microbalum,1
Paecilomyces variotii,Paecilomyces variotii,1
Aspergillus mulundensis,Aspergillus mulundensis,1
Klebsiella aerogenes,Klebsiella aerogenes,1
Aspergillus sclerotioniger CBS 115572,Aspergillus sclerotioniger CBS 115572,1
Aspergillus sclerotioniger CBS 115572,Aspergillus sclerotioniger CBS 115572,1
Aspergillus vadensis CBS 113365,Aspergillus vadensis CBS 113365,1
Aspergillus vadensis CBS 113365,Aspergillus vadensis CBS 113365,1
Aspergillus costaricaensis CBS 115574,Aspergillus costaricaensis CBS 115574,1
Aspergillus costaricaensis CBS 115574,Aspergillus costaricaensis CBS 115574,1
Aspergillus japonicus CBS 114.51,Aspergillus japonicus CBS 114.51,1
Aspergillus aculeatinus CBS 121060,Aspergillus aculeatinus CBS 121060,1
Aspergillus piperis CBS 112811,Aspergillus piperis CBS 112811,1
Aspergillus piperis CBS 112811,Aspergillus piperis CBS 112811,1
Aspergillus uvarum CBS 121591,Aspergillus uvarum CBS 121591,1
Aspergillus brunneoviolaceus CBS 621.78,Aspergillus brunneoviolaceus CBS 621.78,1
Aspergillus neoniger CBS 115656,Aspergillus neoniger CBS 115656,1
Aspergillus saccharolyticus JOP 1030-1,Aspergillus saccharolyticus JOP 1030-1,1
Trichoderma citrinoviride (Hypocrea schweinitzii),Trichoderma citrinoviride,1
Trichoderma citrinoviride (Hypocrea schweinitzii),Trichoderma citrinoviride,1
Trichoderma gamsii,Trichoderma gamsii,1
Cryptococcus neoformans var. grubii H99,Cryptococcus neoformans var. grubii H99,1
Cryptococcus neoformans var. grubii H99,Cryptococcus neoformans var. grubii H99,1
Cryptococcus neoformans var. grubii H99,Cryptococcus neoformans var. grubii H99,1
Candidatus Entotheonella serta,Candidatus Entotheonella serta,1
Neurospora crassa OR74A,Neurospora crassa OR74A,1
Neurospora crassa OR74A,Neurospora crassa OR74A,1
Aspergillus bombycis,Aspergillus bombycis,1
Pochonia chlamydosporia 170,Pochonia chlamydosporia 170,1
Diplodia corticola,Diplodia corticola,1
Cryptococcus wingfieldii CBS 7118,Cryptococcus wingfieldii CBS 7118,1
Cryptococcus wingfieldii CBS 7118,Cryptococcus wingfieldii CBS 7118,1
Purpureocillium lilacinum,Purpureocillium lilacinum,1
Moesziomyces antarcticus (Pseudozyma antarctica),Moesziomyces antarcticus,1
Proteus mirabilis,Proteus mirabilis,1
Kwoniella mangroviensis CBS 8507,Kwoniella mangroviensis CBS 8507,1
Alternaria alternata,Alternaria alternata,1
Paraphaeosphaeria sporulosa,Paraphaeosphaeria sporulosa,1
Striga asiatica,Striga asiatica,1
Homo sapiens (human),Homo sapiens,1
Brassica juncea,Brassica juncea,1
Penicillium digitatum Pd1,Penicillium digitatum Pd1,1
Trichosporon asahii var. asahii CBS 2479,Trichosporon asahii var. asahii CBS 2479,1
Trichosporon asahii var. asahii CBS 2479,Trichosporon asahii var. asahii CBS 2479,1
Trichosporon asahii var. asahii CBS 2479,Trichosporon asahii var. asahii CBS 2479,1
Trichosporon asahii var. asahii CBS 2479,Trichosporon asahii var. asahii CBS 2479,1
Trichosporon asahii var. asahii CBS 2479,Trichosporon asahii var. asahii CBS 2479,1
Grosmannia clavigera kw1407,Grosmannia clavigera kw1407,1
Monoraphidium neglectum,Monoraphidium neglectum,1
Rasamsonia emersonii CBS 393.64,Rasamsonia emersonii CBS 393.64,1
Rasamsonia emersonii CBS 393.64,Rasamsonia emersonii CBS 393.64,1
Rasamsonia emersonii CBS 393.64,Rasamsonia emersonii CBS 393.64,1
Rasamsonia emersonii CBS 393.64,Rasamsonia emersonii CBS 393.64,1
Rasamsonia emersonii CBS 393.64,Rasamsonia emersonii CBS 393.64,1
Capsaspora owczarzaki ATCC 30864,Capsaspora owczarzaki ATCC 30864,1
Capsaspora owczarzaki ATCC 30864,Capsaspora owczarzaki ATCC 30864,1
Coniophora puteana RWD-64-598 SS2,Coniophora puteana RWD-64-598 SS2,1
Punctularia strigosozonata HHB-11173 SS5,Punctularia strigosozonata HHB-11173 SS5,1
Aspergillus niger CBS 513.88,Aspergillus niger CBS 513.88,1
Phaseolus vulgaris,Phaseolus vulgaris,1
Proteus mirabilis,Proteus mirabilis,1
Echinococcus granulosus,Echinococcus granulosus,1
Echinococcus granulosus,Echinococcus granulosus,1
Elaeis guineensis (African oil palm),Elaeis guineensis,1
Dimocarpus longan,Dimocarpus longan,1
Dimocarpus longan,Dimocarpus longan,1
Dimocarpus longan,Dimocarpus longan,1
Dimocarpus longan,Dimocarpus longan,1
Dimocarpus longan,Dimocarpus longan,1
Dimocarpus longan,Dimocarpus longan,1
Dimocarpus longan,Dimocarpus longan,1
Dimocarpus longan,Dimocarpus longan,1
Dimocarpus longan,Dimocarpus longan,1
Dimocarpus longan,Dimocarpus longan,1
Dimocarpus longan,Dimocarpus longan,1
Nannospalax ehrenbergi (Ehrenberg's mole-rat),Nannospalax ehrenbergi,1
Phaseolus vulgaris,Phaseolus vulgaris,1
Phaseolus vulgaris,Phaseolus vulgaris,1
Phaseolus vulgaris,Phaseolus vulgaris,1
Homo sapiens (human),Homo sapiens,1
Hordeum vulgare subsp. vulgare (domesticated barley),Hordeum vulgare subsp. vulgare,1
Noccaea caerulescens,Noccaea caerulescens,1
Arabidopsis thaliana (thale cress),Arabidopsis thaliana,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Culex quinquefasciatus (southern house mosquito),Culex quinquefasciatus,1
Oryza sativa Japonica Group (Japanese rice),Oryza sativa Japonica Group,1
Zea mays,Zea mays,1
Fasciola hepatica (liver fluke),Fasciola hepatica,1
Pyrenophora tritici-repentis Pt-1C-BFP,Pyrenophora tritici-repentis Pt-1C-BFP,1
Pyrenophora tritici-repentis Pt-1C-BFP,Pyrenophora tritici-repentis Pt-1C-BFP,1
Escherichia coli str. K-12 substr. W3110,Escherichia coli str. K-12 substr. W3110,1
Arabidopsis thaliana (thale cress),Arabidopsis thaliana,1
Musca domestica (house fly),Musca domestica,1
Musca domestica (house fly),Musca domestica,1
Musca domestica (house fly),Musca domestica,1
Musca domestica (house fly),Musca domestica,1
Musca domestica (house fly),Musca domestica,1
Musca domestica (house fly),Musca domestica,1
Musca domestica (house fly),Musca domestica,1
Musca domestica (house fly),Musca domestica,1
Musca domestica (house fly),Musca domestica,1
unidentified cloning vector,unidentified cloning vector,1
Oryctolagus cuniculus (rabbit),Oryctolagus cuniculus,1
Mesocricetus auratus (golden hamster),Mesocricetus auratus,1
Dianthus caryophyllus (clove pink),Dianthus caryophyllus,1
Schistosoma mansoni,Schistosoma mansoni,1
unidentified cloning vector,unidentified cloning vector,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Brucella anthropi (Ochrobactrum anthropi),Brucella anthropi,1
Brugia malayi,Brugia malayi,1
Onchocerca volvulus,Onchocerca volvulus,1
Glycine max (soybean),Glycine max,1
Streptomyces malaysiensis,Streptomyces malaysiensis,1
Dickeya parazeae Ech586,Dickeya parazeae Ech586,1
Stenotrophomonas maltophilia R551-3,Stenotrophomonas maltophilia R551-3,1
Rattus norvegicus (Norway rat),Rattus norvegicus,1
Geitlerinema sp. PCC 7407,Geitlerinema sp. PCC 7407,1
Brenneria sp. EniD312,Brenneria sp. EniD312,1
Calothrix sp. PCC 6303 (Fulbrightiella sp. PCC 6303),Calothrix sp. PCC 6303,1
Klebsiella pneumoniae,Klebsiella pneumoniae,1
Mesorhizobium opportunistum WSM2075,Mesorhizobium opportunistum WSM2075,1
Mesorhizobium ciceri biovar biserrulae WSM1271,Mesorhizobium ciceri biovar biserrulae WSM1271,1
Stanieria cyanosphaera PCC 7437,Stanieria cyanosphaera PCC 7437,1
Gloeocapsa sp. PCC 7428,Gloeocapsa sp. PCC 7428,1
Crinalium epipsammum PCC 9333,Crinalium epipsammum PCC 9333,1
Chroococcidiopsis thermalis PCC 7203,Chroococcidiopsis thermalis PCC 7203,1
Nostoc sp. PCC 7107,Nostoc sp. PCC 7107,1
Xylariomycetidae sp. FL2044,Xylariomycetidae sp. FL2044,1
Klebsiella pneumoniae 500_1420,Klebsiella pneumoniae 500_1420,1
Tyrophagus putrescentiae,Tyrophagus putrescentiae,1
Salmonella enterica subsp. enterica,Salmonella enterica subsp. enterica,1
Salmonella enterica subsp. enterica,Salmonella enterica subsp. enterica,1
Salmonella enterica subsp. enterica,Salmonella enterica subsp. enterica,1
Enterobacter cloacae,Enterobacter cloacae,1
Enterobacter hormaechei subsp. xiangfangensis (Enterobacter xiangfangensis),Enterobacter hormaechei subsp. xiangfangensis,1
Homo sapiens (human),Homo sapiens,1
Rattus rattus (black rat),Rattus rattus,1
Zea mays,Zea mays,1
Glycine max (soybean),Glycine max,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Carica papaya (papaya),Carica papaya,1
Homo sapiens (human),Homo sapiens,1
Rattus rattus (black rat),Rattus rattus,1
Zea mays,Zea mays,1
Glycine max (soybean),Glycine max,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Carica papaya (papaya),Carica papaya,1
Homo sapiens (human),Homo sapiens,1
Rattus rattus (black rat),Rattus rattus,1
Zea mays,Zea mays,1
Glycine max (soybean),Glycine max,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Carica papaya (papaya),Carica papaya,1
Homo sapiens (human),Homo sapiens,1
Rattus rattus (black rat),Rattus rattus,1
Zea mays,Zea mays,1
Glycine max (soybean),Glycine max,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Carica papaya (papaya),Carica papaya,1
Homo sapiens (human),Homo sapiens,1
Homo sapiens (human),Homo sapiens,1
Rattus rattus (black rat),Rattus rattus,1
Zea mays,Zea mays,1
Glycine max (soybean),Glycine max,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Homo sapiens (human),Homo sapiens,1
Rattus rattus (black rat),Rattus rattus,1
Zea mays,Zea mays,1
Glycine max (soybean),Glycine max,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Carica papaya (papaya),Carica papaya,1
